psraid,weight,int_date,tz,cregion,fips,state,msa,usr,usr1,cstatus,p1,p2,kidage,kidgen,p4a,p5a,kidsel,p4b,p5b,p6,p7,q1a,q1b,q2a,q2b,q3a,q3b,q3c,q3d,q4,q5a,q5b,q5c,q5d,q7a,q7b,psex,age,educ,hisp,race,income,modem,q8,playgame,k1a,k1b,k2,k3a,k3b,k3c,k3d,k4a,k4b,k4c,k5a,k5b,k5c,k5d,k5e,k6a,k6b,k6c,k6d,k6e,k7a,k7b,k7c,k7d,k7e,k7f,k7g,k8a,k8b,k8c,k8d,k8e,k9a,k9b,k9c,k9d,k10,k11,k12_1,k12_2,k12_3,k13,k14a,k14b,k14c,k14d,k14e,k14f,k14g,k14h,k14i,k14j,k14k,k14l,k15,k16,k17,K17_CD1,K17_CD2,K17_CD3,k18,k19,k20a,k20b,k20c,k21,k22,k23,k24,k25,k26a,k26b,k26c,k26d,k27,k28,K28_CD1,K28_CD2,K28_CD3,k29a,k29b,k29c,k29d,k29e,k29f,k29g,k29h,k30a,k30b,k31a,k31b,k32a,k20cnt,ksex,kage,racethn,kagerec,numkids,i_user,c_user,c_age,c_agegrp,c_sex,c_game,k3cnt,k4cnt,k6cnt,k7cnt,k8cnt,k9cnt,k14cnt,k26cnt,k29cnt,raceos,modemos,k3dos,k12os,k13os,k17game,k28game
634,4,110707,E,1,34017,34,35620,S,2,2,2,1,16,1,16,1, , , ,1,1,1,1,1,1,1,3,3,1,1,1,2,1,2,3, ,1,35,3,2,4,4,3,2,1,1,1,1,1,2,2,1,1,1,1,3,3,3,1,3,1,1,2,1,2,2,1,1,2,2,3,4,5,1,5,5,1,1,2,1,1,1, , , , , ,1,1,2,2,2,2,1,2,1,1,2,2,2,2,1,24,35,33,4,2,2,2,2, , , ,2,2,1,1,1,1,2, , , , ,2,4,2,4,4,2,2,3,3, ,3, ,3,0,1,16,4,5,1,1,1,16,2,1,1,2,3,3,5,2,3,5,4,0, , ,WORK, , ,"MADDEN, NBA LIVE, NASCAR", 
16854,1.33333333333333,12408,E,1,34003,34,35620,S,2,1,1,1,13,2,13,2, , , ,1,1,1,1,1,1,2,2,2,1,1,2,3,2,2,3, ,2,56,5,1,2,5,2,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,2,4,1,2,2,5,2,8,1,4,2,1,1,2,1,1,1, , , , , ,8,1,2,2,2,1,2,2,1,1,1,2,2,2,1,57,0,57,6,0,1,2,1,1, , ,2,2,1,1,1,2,1,1,12415,0, ,1,3,2,3,2,3,3,8,3, ,3, ,8,2,2,13,3,2,1,1,1,13,1,2,1,4,3,5,5,3,3,5,3,1, , ,A CELL PHONE, , ,"THE SIMS 2, CRAZY TAXI 4, SIM PETS","WORD SEARCH, BRAIN TEASERS, POLITICAL GAMES"
14856,1.9375,11808,E,1,34003,34,35620,S,2,0,2,2,14,1, , ,3,14,1,1,1,1,1,1,1,1,1,3,1,1,2,1,3,3,1, ,1,53,7,2,1,8,3,1,1,1,1,1,1,1,2,2,1,1,1,2,1,3,3,1,1,1,1,1,1,2,4,3,3,2,2,2,2,2,2,2,1,1,1,1,2,1, , , , , ,2,2,1,1,1,1,2,2,2,2,1,2,2,2,1,5,18,55,4,1,2,1,1,3,3,2,2,2,1,1,2,2,2, , , , ,4,2,2,3,2,3,2,3,3, ,3, ,3,2,1,14,1,3,2,1,1,14,1,1,1,2,3,5,4,5,3,5,2,0, , , , , ,"CALL OF DUTY 4, GUITAR HERO 3, ORANGE BOX", 
14752,1.79166666666667,12108,E,1,34003,34,35620,S,2,2,2,1,12,1,12,1, , , ,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,3, ,1,52,6,2,1,8,3,2,1,1,1,3,1,1,1,2,1,1,2,1,1,1,1,3,1,1,1,1,1,1,2,1,1,5,2, ,2,1,2,1,1,1,1,1,1,1, , , , , ,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,20,18,48,3,1,1,1,1,2,1,2,1,2,1,1,1,1,2, , , , ,1,2,3,2,2,3,1,3,2,3,2,2,2,3,1,12,1,1,1,1,1,12,1,1,1,3,2,5,5,5,4,10,4,2, , , , , ,"HALO 3, GUITAR HERO, MARIO GALAXY", 
115,1,110107,E,1,34003,34,35620,S,2,2,3,1,14,1,14,1, , , ,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1, ,2,55,7,2,1,6,9,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,1,1,1,1,1,2,1,5,1,2,1,1,8,2,4,2,2,1,1,1,1,1, , , , , ,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,20,18,0,2,2,1,1,2,1,1,2,1,2,1,2,2,2,2, , , , ,1,3,3,3,3,3,2,8,3, ,3, ,1,2,1,14,1,3,1,1,1,14,1,1,1,4,3,5,6,3,4,8,1,1, , ,YUOR FRIENDS HOUSE, , ,"HALO 3, GUITER HERO, BLOON'S POWER DEFENSE 2", 
1404,1.45833333333333,122107,E,3,11001,11,47900,U,1,2,2,1,17,1,17,1, , , ,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,4, ,1,63,5,2,2,6,2,2,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,1,2,1,1,2,3,1,1,1,1,3,1,2,1,4,4,1,1,1,1,1,1, , , , , ,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,20,21476,13923,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2, , , , ,1,2,3,1,1,1,2,2,2,1,2,3,1,3,1,17,2,6,1,1,1,17,2,1,1,3,2,3,5,3,4,7,3,4, , ,WORK, , ,"HALO 3, RAINBOW6, FINAL FANASTY", 
14866,1.6875,12108,E,1,9009,9,35300,S,2,2,2,1,12,1,12,1, , , ,1,1,1,1,1,1,1,1,3,1,1,1,2,1,3,3, ,2,33,7,2,2,8,2,2,1,1,2,5,1,1,1,2,1,1,2,1,1,3,1,3,2,2,2,1,1,2,2,5, ,4,5, ,4,1,4,2,1,1,1,1,2,1, , , , , ,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,15,20,24,5,6,1,1,1,1,3,1,1,2,1,1,1,1,2, , , , ,1,1,2,1,3,1,1,2,1,2,1,2,2,3,1,12,2,1,1,1,1,12,1,1,1,3,2,2,2,3,3,10,4,5, , , , , ,"GEARS OF WAR, HALO 3, MADDEN 08", 
4152,2.5,112307,E,1,9009,9,35300,S,2,0,2,1,13,2,13,2, , , ,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,9, ,1,50,3,2,1,8,3,1,1,1,2,1,1,2,2,2,1,1,2,2,8,3,1,3,1,1,1,1,2,2,1,5,2,5,5, ,1,1,1,4,1,1,2,1,2,1, , , , , ,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,57,57,12384,2,1,2,2,1, , , ,2,1,1,2,1,1,2, , , , ,4,3,3,3,2,1,1,3,3, ,3, ,1,1,2,13,1,2,1,1,1,13,1,2,1,1,2,4,3,4,2,1,3,2, , , , , ,"THE 'SIMS, THE SIMS 2, CREATURES", 
14797,2.75,12008,E,1,9009,9,35300,S,2,2,4,1,17,1,17,1, , , ,1,1,1,1,1,1,3,3,3,1,1,1,3,4,4,3, ,1,51,3,2,1,7,2,2,1,1,1,1,1,1,2,2,2,1,1,3,3,3,3,3,1,2,1,1,2,1,3,1,1,1,3,1,4,1,2,4,1,1,2,2,1,1, , , , , ,2,2,1,1,2,1,1,2,2,1,2,2,2,2,1,29,18,24,2,1,2,2,1, , , ,2,2,1,1,1,2,2, , , , ,2,4,4,2,4,3,2,2,2,2,2,2,2,1,1,17,1,6,1,1,1,17,2,1,1,2,2,3,5,3,2,5,3,0, , , , , ,"MEDAL OF HONOR, GUITAR HERO, MADDEN 08", 
14771,2.20833333333333,12408,E,1,9001,9,14860,U,1,2,2,2,13,1, , ,1,13,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,2, ,2,38,6,1,1,7,2,1,1,2,2, , , , , , , , ,1,1,3,1,3,1,2,1,1,1,2,4,1,3, , , ,4,4,4,4,2,1,1,2,2,2, , , , , ,1,2,1,1,1,2,2,2,2,2,1,2,2,1,1,20,18,27,3,3,1,1,1,3,2,9, , ,1,2,1,1,2, , , , ,2,1,2,2,3,2,3,3,3, ,3, ,2,3,1,13,3,2,2,1,0,13,1,1,1, , ,4,2,1,2,5,3,1, , , , , ,HALO 3; GUITAR HERO;|MARIO PARTY, 
